Sr_No,Property_No,Property_Type,Property_Holder_Name,Previous_House_Tax,Previous_Electricity_Tax,Previous_Health_Tax,Previous_Total,Current_House_Tax,Current_Electricity_Tax,Current_Health_Tax,Current_Total,Mobile_No,Aadhaar_No
1,1634,RCC,"Mahendra Vitthal Shah, Renuka Mahendra Shah",1200,150,100,1450,2500,300,200,3000,9370317331,458712347890
2,1634/1,RCC,Renuka Mahendra Shah,800,100,75,975,2000,250,150,2400,9370317331,458756781234
3,1634/2,RCC,Renuka Mahendra Shah,600,80,70,750,1800,220,150,2170,9370317331,458791011121
4,111/1/2,RCC,Mahendra Kantilaal Purohit,1500,200,150,1850,3000,350,250,3600,9370915415,556677889900
5,111/3,RCC,Mahendra Kantilaal Purohit,900,120,100,1120,2200,280,200,2680,9370915415,556677881122
6,111/4 (Shop),RCC,Mahendra Kantilaal Purohit,2000,300,200,2500,4000,500,300,4800,9370915415,556677883344
7,111/5/6/7 (Shop),RCC,Mahendra Kantilaal Purohit,2500,350,250,3100,4500,600,400,5500,9370915415,556677885566
8,111/8,RCC,Mahendra Kantilaal Purohit,1000,150,120,1270,2300,300,200,2800,9370915415,556677887788
9,111/9,RCC,Mahendra Kantilaal Purohit,1100,160,130,1390,2400,320,220,2940,9370915415,556677888899
10,2251/1 (Shop),RCC,Padu Dharma Sonawale,1800,250,200,2250,3500,450,300,4250,9604158246,667788990011
11,2251/2 (Shop),RCC,"Dattatraya Janu Bhoir, Sharda Dattatraya Bhoir",1300,180,150,1630,2800,350,250,3400,9850055520,667788992233
12,2251/3 (Shop),RCC,Kishor Ashok Basare,900,120,100,1120,2100,280,200,2580,9850863657,667788994455
13,2251/4 (Shop),RCC,Jayesh Manharlal Shah,700,100,80,880,1900,250,150,2300,,667788996677
14,2251/5 (Shop),RCC,Chotalal Vasantji Popat,650,90,75,815,1800,220,150,2170,,667788998899
15,2251/6 (Shop),RCC,Mahesh Gangadhar Shirsath,1000,150,120,1270,2300,300,200,2800,9021864204,667788999900
